 Episode,Pokemon,,#,Winner,Winner,,,
,Tentacruel,,49,Tentacruel,,,,
,Phantump,,,,,,,
,Mimikyu,,50,Phantump,,,,
,Regice,,,,,,,
,Furfrou,,51,Regice,,,,
,Zorua,,,,,,,
,Mr. Mime,,52,Mr. Mime,,,,
,Serperior,,,,,,,
,Falinks,,53,Falinks,,,,
,Vaporeon,,,,,,,
,Exploud,,54,Vaporeon,,,,
,Venomoth,,,,,,,
,Jangmo-o,,55,Venomoth,,,,
57,Lanturn,,,,,,,
,Grimmsnarl,,56,Grimmsnarl,,,,
,Drizzile,,,,,,,
,Skarmory,,57,Drizzile,,,,
,Corphish,,,,,,,
,Vulpix,,58,Vulpix,,,,
,Azumarill,,,,,,,
,Castform,,59,Castform,,,,
,Kricketot,,,,,,,
,Impidimp,,60,Impidimp,,,,
,Aurorus,,,,,,,
,Dragonite,,61,Dragonite,,,,
,Zapdos,,,,,,,
,Ninetales,,62,Zapdos,,,,
58,Staryu,,,,,,,
,Piloswine,,63,Staryu,,,,
,Dwebble,,,,,,,
,Gible,,64,Gible,,,,
,Pichu,,,,,,,
,Rhydon,,65,Pichu,,,,
,Grumpig,,,,,,,
,Rockruff,,66,Rockruff,,,,
,Sigilyph,,,,,,,
,Trapinch,,67,Trapinch,,,,
,Lugia,,,,,,,
,Marshtomp,,68,Lugia,,,,
59 THIS IS ACTUALLY 57,Sinistea,,,,,,,
,Ekans,,69,Sinistea,,,,
,Jigglypuff,,,,,,,
,Beedrill,,70,Jigglypuff,,,,
,Pyukumuku,,,,,,,
,Mew,,71,Mew,,,,
,Azurill,,,,,,,
,Lunala,,72,Azurill,,,,
,Gallade,,,,,,,
,Elekid,,73,Gallade,,,,
,Absol,,,,,,,
,Manaphy,,74,Absol,,,,
,Celebi,,,,,,,
,Krabby,,75,Celebi,,,,
,Dialga,,,,,,,
,Buizel,,76,Dialga,,,,
,Sobble,,,,,,,
,Shedinja,,77,Shedinja,,,,
,Mamoswine,,,,,,,
,Zygarde,,78,Zygarde,,,,
,Totodile,,,,,,,
,Mr. Rime,,79,Totodile,,,,
,Chatot,,,,,,,
,Tyrunt,,80,Tyrunt,,,,
,Flabébé,,,,,,,
,Remoraid,,81,Remoraid,,,,
,Archeops,,,,,,,
,Barraskewda,,82,Archeops,,,,
,Snover,,,,,,,
,Aromatisse,,83,Aromatisse,,,,
,Solrock,,,,,,,
,Dratini,,84,Dratini,,,,
,Hydreigon,,,,,,,
,Araquanid,,85,Araquanid,,,,
58,Clobbopus,,,,,,,
,Tympole,,86,Clobbopus,,,,
,Volcanion,,,,,,,
,Dewott,,87,Dewott,,,,
,Kabuto,,,,,,,
,Masquerain,,88,Masquerain,,,,
,Lillipup,,,,,,,
,Bagon,,89,Lillipup,,,,
,Panpour,,,,,,,
,Torkoal,,90,Torkoal,,,,
,Uxie,,,,,,,
,Golisopod,,91,Golisopod,,,,
,Espurr,,,,,,,
,Lotad,,92,Lotad,,,,
,Dragapult,,,,,,,
,Nihilego,,93,Nihilego,,,,
59,Ledyba,,,,,,,
,Nidoking,,94,Nidoking,,,,
,Litwick,,,,,,,
,Fearow,,95,Litwick,,,,
,Chandelure,,,,,,,
,Starly,,96,Chandelure,,,,
,Miltank,,,,,,,
,Honchkrow,,97,Miltank,,,,
,Makuhita,,,,,,,
,Clefable,,98,Makuhita,,,,
,Relicanth,,,,,,,
,Seel,,99,Relicanth,,,,
,Poliwrath,,,,,,,
,Darmanitan,,100,Poliwrath,,,,
,Spewpa,,,,,,,
,Whiscash,,101,Whiscash,,,,
,Type: Null,,,,,,,
,Froslass,,102,Type: Null,,,,
60,Floette,,,,,,,
,Blastoise,,103,Blastoise,,,,
,Swalot,,,,,,,
,Rowlet,,104,Rowlet,,,,
,Swellow,,,,,,,
,Zigzagoon,,105,Zigzagoon,,,,
,Eiscue,,,,,,,
,Froakie,,106,Eiscue,,,,
,Giratina,,,,,,,
,Heracross,,107,Heracross,,,,
,Croagunk,,,,,,,
,Wyrdeer,,108,Croagunk,,,,
,Dusclops,,,,,,,
,Tangrowth,,109,Tangrowth,,,,
61,Cursola,,,,,,,
,Xurkitree,,110,Cursola,,,,
,Shelmet,,,,,,,
,Tropius,,111,Tropius,,,,
,Donphan,,,,,,,
,Fraxure,,112,Donphan,,,,
,Ribombee,,,,,,,
,Nidorino,,113,Ribombee,,,,
,Metapod,,,,,,,
,Basculegion,,114,Basculegion,,,,
,Vivillon,,,,,,,
,Ninjask,,115,Ninjask,,,,
,Minior,,,,,,,
,Primarina,,116,Primarina,,,,
,Porygon2,,,,,,,
,Baltoy,,117,Porygon2,,,,
,Cofagrigus,,,,,,,
,Raichu,,118,Raichu,,,,
,Wobbuffet,,,,,,,
,Squirtle,,119,Wobbuffet,,,,
,Nosepass,,,,,,,
,Bergmite,,120,Bergmite,,,,
,Yanmega,,,,,,,
,Buzzwole,,121,Buzzwole,,,,
62,Corvisquire,,,,,,,
,Starmie,,122,Corvisquire,,,,
,Pansage,,,,,,,
,Foongus,,123,Foongus,,,,
,Pikachu,,,,,,,
,Azelf,,124,Pikachu,,,,
,Slowbro,,,,,,,
,Misdreavus,,125,Slowbro,,,,
,Polteageist,,,,,,,
,Golurk,,126,Polteageist,,,,
,Wailord,,,,,,,
,Mawile,,127,Mawile,,,,
,Snom,,,,,,,
,Inkay,,128,Inkay,,,,
,Palossand,,,,,,,
,Meowstic,,129,Palossand,,,,
,Jellicent,,,,,,,
,Gligar,,130,Gligar,,,,
,Gumshoos,,,,,,,
,Pyroar,,131,Pyroar,,,,
,Illumise,,,,,,,
,Victreebel,,132,Victreebel,,,,
,Hakamo-o,,,,,,,
,Swampert,,133,Swampert,,,,
,Mienshao,,,,,,,
,Decidueye,,134,Mienshao,,,,
,Deoxys,,,,,,,
,Venipede,,135,Deoxys,,,,
64,Crobat,,,,,,,
,Galvantula,,136,Crobat,,,,
,Shaymin,,,,,,,
,Piplup,,137,Piplup,,,,
,Diggersby,,,,,,,
,Charmander,,138,Charmander,,,,
,Hatenna,,,,,,,
,Skitty,,139,Skitty,,,,
,Arctovish,,,,,,,
,Ho-Oh,,140,Arctovish,,,,
,Diglett,,,,,,,
,Murkrow,,141,Murkrow,,,,
65,Togekiss,,,,,,,
,Yamper,,142,Togekiss,,,,
,Boldore,,,,,,,
,Oricorio,,143,Boldore,,,,
,Kabutops,,,,,,,
,Stunky,,144,Kabutops,,,,
,Leafeon,,,,,,,
,Flapple,,145,Leafeon,,,,
,Regigigas,,,,,,,
,Silvally,,146,Regigigas,,,,
,Spiritomb,,,,,,,
,Pidgeotto,,147,Pidgeotto,,,,
66,Phanpy,,,,,,,
,Dottler,,148,Phanpy,,,,
,Drifblim,,,,,,,
,Ditto,,149,Drifblim,,,,
,Cryogonal,,,,,,,
,Timburr,,150,Cryogonal,,,,
,Budew,,,,,,,
,Rhyhorn,,151,Rhyhorn,,,,
,Altaria,,,,,,,
,Hitmontop,,152,Altaria,,,,
,Lampent,,,,,,,
,Sliggoo,,153,Lampent,,,,
,Clawitzer,,,,,,,
,Basculin,,154,Clawitzer,,,,
,Rolycoly,,,,,,,
,Sandslash,,155,Sandslash,,,,
,Woobat,,,,,,,
,Exeggutor,,156,Woobat,,,,
,Pumpkaboo,,,,,,,
,Pancham,,157,Pumpkaboo,,,,
67,Nidoran♂,,,,,,,
,Tyranitar,,158,Nidoran♂,,,,
,Ferroseed,,,,,,,
,Chimecho,,159,Chimecho,,,,
,Persian,,,,,,,
,Larvitar,,160,Larvitar,,,,
,Mismagius,,,,,,,
,Drifloon,,161,Drifloon,,,,
,Vanillite,,,,,,,
,Melmetal,,162,Vanillite,,,,
,Furret,,,,,,,
,Orbeetle,,163,Furret,,,,
,Ivysaur,,,,,,,
,Dunsparce,,164,Dunsparce,,,,
68,Helioptile,,,,,,,
,Bidoof,,165,Bidoof,,,,
,Elgyem,,,,,,,
,Marill,,166,Elgyem,,,,
,Lurantis,,,,,,,
,Ralts,,167,Lurantis,,,,
,Articuno,,,,,,,
,Rotom,,168,Articuno,,,,
69,Wooper,,,,,,,
,Metagross,,169,Wooper,,,,
,Sneasel,,,,,,,
,Silicobra,,170,Sneasel,,,,
,Geodude,,,,,,,
,Toxtricity,,171,Toxtricity,,,,
,Girafarig,,,,,,,
,Machoke,,172,Girafarig,,,,
,Dustox,,,,,,,
,Pidove,,173,Dustox,,,,
,Togepi,,,,,,,
,Probopass,,174,Togepi,,,,
,Larvesta,,,,,,,
,Delibird,,175,Delibird,,,,
,Treecko,,,,,,,
,Shellos,,176,Treecko,,,,
70,Magikarp,,,,,,,
,Natu,,177,,,,,
,Poliwhirl,,,,,,,
,Oshawott,,178,,,,,This was the first pokemon to ever win a champs matchup
,Quilladin,,,,,,,
,Groudon,,179,,,,,
,Roserade,,,,,,,
,Turtwig,,180,,,,,
,Umbreon,,,,,,,
,Luxio,,181,,,,,
,Feraligatr,,,,,,,
,Nidoqueen,,182,,,,,
,Shiftry,,,,,,,
,Wartortle,,183,,,,,
,Magnezone,,,,,,,
,Steelix,,184,,,,,
,Golett,,,,,,,
,Kricketune,,185,,,,,
,Spinarak,,,,,,,
,Magcargo,,186,,,,,
,Wimpod,,,,,,,
,Cubone,,187,,,,,
,Shuckle,,,,,,,
,Granbull,,188,,,,,
,Gengar,,,,,,,
,Steenee,,189,,,,,
,Sewaddle,,,,,,,
,Hawlucha,,190,,,,,
,Cyndaquil,,,,,,,
,Deino,,191,,,,,
,Dhelmise,,,,,,,
,Meloetta,,192,,,,,
,Poliwag,,,,,,,
,Vileplume,,193,,,,,
,Sableye,,,,,,,
,Dreepy,,194,,,,,
,Marshadow,,,,,,,
,Barboach,,195,,,,,
,Cacturne,,,,,,,
,Sylveon,,196,,,,,
,Charmeleon,,,,,,,
,Butterfree,,197,,,,,
,Celesteela,,,,,,,
,Goomy,,198,,,,,
,Sandshrew,,,,,,,
,Noctowl,,199,,,,,
,Gurdurr,,,,,,,
,Lycanroc,,200,,,,,
,Milotic,,,,,,,
,Rayquaza,,201,,,,,
,Spheal,,,,,,,
,Aerodactyl,,202,,,,,
,Smeargle,,,,,,,
,Clauncher,,203,,,,,
,Kingler,,,,,,,
,Scraggy,,204,,,,,
,Meditite,,,,,,,
,Pineco,,205,,,,, 
,Yungoos,,,,,,,
,Slakoth,,206,,,,,
,Hippowdon,,,,,,,
,Skrelp,,207,,,,,
,Delcatty,,,,,,,
,Bastiodon,,208,,,,,
,Clefairy,,,,,,,
,Numel,,209,,,,,
,Klefki,,,,,,,
,Dugtrio,,210,,,,,
,Doduo,,,,,,,
,Flareon,,211,,,,,
,Shellder,,,,,,,
,Chingling,,212,,,,,
,Archen,,,,,,,
,Snorlax,,213,,,,,
,Typhlosion,,,,,,,
,Glaceon,,214,,,,,
,Swadloon,,,,,,,
,Pawniard,,215,,,,,
,Sirfetch'd,,,,,,,
,Sceptile,,216,,,,,
,Snorunt,,,,,,,
,Drampa,,217,,,,,
,Golem,,,,,,,
,Snubbull,,218,,,,,
,Eevee,,,,,,,
,Pachirisu,,219,,,,,
,Vullaby,,,,,,,
,Klink,,220,,,,,
,Appletun,,,,,,,
,Psyduck,,221,,,,,
,Bayleef,,,,,,,
,REGIDRAGO,,222,,,,,
,Herdier,,,,,,,
,Combee,,223,,,,,
,Mareep,,,,,,,
,Turtonator,,224,,,,,
,Onix,,,,,,,
,Dewgong,,225,,,,,
,Carracosta,,,,,,,
,Growlithe,,226,,,,,
,Sandygast,,,,,,,
,Gastrodon,,227,,,,,
,,,,,,,,
,,,228,,,,,
,,,,,,,,
,,,229,,,,,
,,,,,,,,
,,,230,,,,,
,,,,,,,,
,,,231,,,,,
,,,,,,,,
,,,232,,,,,
,,,,,,,,
,,,233,,,,,
,,,,,,,,
,,,234,,,,,
,,,,,,,,
,,,235,,,,,
,,,,,,,,
,,,236,,,,,
,,,,,,,,
,,,237,,,,,
,,,,,,,,
,,,238,,,,,
,,,,,,,,
,,,239,,,,,
,,,,,,,,
,,,240,,,,,
,,,,,,,,
,,,241,,,,,
,,,,,,,,
,,,242,,,,,
,,,,,,,,
,,,243,,,,,
,,,,,,,,
,,,244,,,,,
,,,,,,,,
,,,245,,,,,
,,,,,,,,
,,,246,,,,,
,,,,,,,,
,,,247,,,,,
,,,,,,,,
,,,248,,,,,
,,,,,,,,
,,,249,,,,,
,,,,,,,,
,,,250,,,,,
,,,,,,,,
,,,251,,,,,
,,,,,,,,
,,,252,,,,,
,,,,,,,,
,,,254,,,,,
,,,,,,,,
,,,255,,,,,
,,,,,,,,
,,,256,,,,,
,,,,,,,,
,,,257,,,,,
,,,,,,,,
,,,253,,,,,
,,,,,,,,
,,,258,,,,,
,,,,,,,,
,,,259,,,,,
,,,,,,,,
,,,260,,,,,
,,,,,,,,
,,,261,,,,,
,,,,,,,,
,,,262,,,,,
,,,,,,,,
,,,263,,,,,
,,,,,,,,
,,,264,,,,,
,,,,,,,,
,,,265,,,,,
,,,,,,,,
,,,266,,,,,
,,,,,,,,
,,,267,,,,,
,,,,,,,,
,,,268,,,,,
,,,,,,,,
,,,269,,,,,
,,,,,,,,
,,,270,,,,,
,,,,,,,,
,,,271,,,,,
,,,,,,,,
,,,272,,,,,
,,,,,,,,
,,,273,,,,,
,,,,,,,,
,,,274,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,276,,,,,
,,,,,,,,
,,,277,,,,,
,,,,,,,,
,,,278,,,,,
,,,,,,,,
,,,279,,,,,
,,,,,,,,
,,,280,,,,,
,,,,,,,,
,,,281,,,,,
,,,,,,,,
,,,282,,,,,
,,,,,,,,
,,,283,,,,,
,,,,,,,,
,,,284,,,,,
,,,,,,,,
,,,285,,,,,
,,,,,,,,
,,,286,,,,,
,,,,,,,,
,,,287,,,,,
,,,,,,,,
,,,288,,,,,
,,,,,,,,
,,,289,,,,,
,,,,,,,,
,,,290,,,,,
,,,,,,,,
,,,291,,,,,
,,,,,,,,
,,,275,,,,,
,,,,,,,,
,,,292,,,,,
,,,,,,,,
,,,293,,,,,
,,,,,,,,
,,,294,,,,,
,,,,,,,,
,,,295,,,,,
,,,,,,,,
,,,296,,,,,
,,,,,,,,
,,,297,,,,,
,,,,,,,,
,,,298,,,,,
,,,,,,,,
,,,299,,,,,
,,,,,,,,
,,,300,,,,,
,,,,,,,,
,,,301,,,,,
,,,,,,,,
,,,302,,,,,
,,,,,,,,
,,,303,,,,,
,,,,,,,,
,,,304,,,,,
,,,,,,,,
,,,305,,,,,
,,,,,,,,
,,,306,,,,,
,,,,,,,,
,,,307,,,,,
,,,,,,,,
,,,308,,,,,
,,,,,,,,
,,,309,,,,,
,,,,,,,,
,,,310,,,,,
,,,,,,,,
,,,311,,,,,
,,,,,,,,
,,,312,,,,,
,,,,,,,,
,,,313,,,,,
,,,,,,,,
,,,314,,,,,
,,,,,,,,
,,,315,,,,,
,,,,,,,,
,,,316,,,,,
,,,,,,,,
,,,317,,,,,
,,,,,,,,
,,,318,,,,,
,,,,,,,,
,,,319,,,,,
,,,,,,,,
,,,320,,,,,
,,,,,,,,
,,,321,,,,,
,,,,,,,,
,,,322,,,,,
,,,,,,,,
,,,323,,,,,
,,,,,,,,
,,,324,,,,,
,,,,,,,,
,,,325,,,,,
,,,,,,,,
,,,326,,,,,
,,,,,,,,
,,,327,,,,,
,,,,,,,,
,,,328,,,,,
,,,,,,,,
,,,329,,,,,
,,,,,,,,
,,,330,,,,,
,,,,,,,,
,,,331,,,,,
,,,,,,,,
,,,332,,,,,
,,,,,,,,
,,,333,,,,,
,,,,,,,,
,,,334,,,,,
,,,,,,,,
,,,335,,,,,
,,,,,,,,
,,,336,,,,,
,,,,,,,,
,,,337,,,,,
,,,,,,,,
,,,338,,,,,
,,,,,,,,
,,,339,,,,,
,,,,,,,,
,,,340,,,,,
,,,,,,,,
,,,341,,,,,
,,,,,,,,
,,,342,,,,,
,,,,,,,,
,,,343,,,,,
,,,,,,,,
,,,344,,,,,
,,,,,,,,
,,,345,,,,,
,,,,,,,,
,,,346,,,,,
,,,,,,,,
,,,347,,,,,
,,,,,,,,
,,,348,,,,,
,,,,,,,,
,,,349,,,,,
,,,,,,,,
,,,350,,,,,
,,,,,,,,
,,,351,,,,,
,,,,,,,,
,,,352,,,,,
,,,,,,,,
,,,353,,,,,
,,,,,,,,
,,,354,,,,,
,,,,,,,,
,,,355,,,,,
,,,,,,,,
,,,356,,,,,
,,,,,,,,
,,,357,,,,,
,,,,,,,,
,,,358,,,,,
,,,,,,,,
,,,359,,,,,
,,,,,,,,
,,,360,,,,,
,,,,,,,,
,,,361,,,,,
,,,,,,,,
,,,362,,,,,
,,,,,,,,
,,,363,,,,,
,,,,,,,,
,,,364,,,,,
,,,,,,,,
,,,365,,,,,
,,,,,,,,
,,,366,,,,,
,,,,,,,,
,,,367,,,,,
,,,,,,,,
,,,368,,,,,
,,,,,,,,
,,,369,,,,,
,,,,,,,,
,,,370,,,,,
,,,,,,,,
,,,371,,,,,
,,,,,,,,
,,,372,,,,,
,,,,,,,,
,,,373,,,,,
,,,,,,,,
,,,374,,,,,
,,,,,,,,
,,,375,,,,,
,,,,,,,,
,,,376,,,,,
,,,,,,,,
,,,377,,,,,
,,,,,,,,
,,,378,,,,,
,,,,,,,,
,,,379,,,,,
,,,,,,,,
,,,380,,,,,
,,,,,,,,
,,,381,,,,,
,,,,,,,,
,,,382,,,,,
,,,,,,,,
,,,383,,,,,
,,,,,,,,
,,,384,,,,,
,,,,,,,,
,,,385,,,,,
,,,,,,,,
,,,386,,,,,
,,,,,,,,
,,,387,,,,,
,,,,,,,,
,,,388,,,,,
,,,,,,,,
,,,389,,,,,
,,,,,,,,
,,,390,,,,,
,,,,,,,,
,,,391,,,,,
,,,,,,,,
,,,392,,,,,
,,,,,,,,
,,,393,,,,,
,,,,,,,,
,,,394,,,,,
,,,,,,,,
,,,395,,,,,
,,,,,,,,
,,,396,,,,,
,,,,,,,,
,,,397,,,,,
,,,,,,,,
,,,398,,,,,
,,,,,,,,
,,,399,,,,,
,,,,,,,,
,,,400,,,,,
,,,,,,,,
,,,401,,,,,
,,,,,,,,
,,,402,,,,,
,,,,,,,,
,,,403,,,,,
,,,,,,,,
,,,404,,,,,
,,,,,,,,
,,,405,,,,,
,,,,,,,,
,,,406,,,,,
,,,,,,,,
,,,407,,,,,
,,,,,,,,
,,,408,,,,,
,,,,,,,,
,,,409,,,,,
,,,,,,,,
,,,410,,,,,
,,,,,,,,
,,,411,,,,,
,,,,,,,,
,,,412,,,,,
,,,,,,,,
,,,413,,,,,
,,,,,,,,
,,,414,,,,,
,,,,,,,,
,,,415,,,,,
,,,,,,,,
,,,416,,,,,
,,,,,,,,
,,,417,,,,,
,,,,,,,,
,,,418,,,,,
,,,,,,,,
,,,419,,,,,
,,,,,,,,
,,,420,,,,,
,,,,,,,,
,,,421,,,,,
,,,,,,,,
,,,422,,,,,
,,,,,,,,
,,,423,,,,,
,,,,,,,,
,,,424,,,,,
,,,,,,,,
,,,425,,,,,
,,,,,,,,
,,,426,,,,,
,,,,,,,,
,,,427,,,,,
,,,,,,,,
,,,428,,,,,
,,,,,,,,
,,,429,,,,,
,,,,,,,,
,,,430,,,,,
,,,,,,,,
,,,431,,,,,
,,,,,,,,
,,,432,,,,,
,,,,,,,,
,,,433,,,,,
,,,,,,,,
,,,434,,,,,
,,,,,,,,
,,,435,,,,,
,,,,,,,,
,,,436,,,,,
,,,,,,,,
,,,437,,,,,
,,,,,,,,
,,,438,,,,,
,,,,,,,,
,,,439,,,,,
,,,,,,,,
,,,440,,,,,
,,,,,,,,
,,,441,,,,,
,,,,,,,,
,,,442,,,,,
,,,,,,,,
,,,443,,,,,
,,,,,,,,
,,,444,,,,,
,,,,,,,,
,,,445,,,,,
,,,,,,,,
,,,446,,,,,
,,,,,,,,
,,,447,,,,,
,,,,,,,,
,,,448,,,,,
,,,,,,,,
,,,449,,,,,
